# CSV_SCHEMA_V=1, FW=0.9-field-hardening, BOARD_ID=0x5CD85EDB5110, ROLE=RESPONDER, BOOT_MS=0, FREQ=2400.0, BW=406.25, SF=8, CR=7, TXPOWER=12
seq,timestamp_ms,event,rssi_dbm,state,radio_status_code
355,777643,RANGING_REQ,-150,LISTENING,0
356,778328,RANGING_REQ,-150,LISTENING,0
357,779013,RANGING_REQ,-150,LISTENING,0
358,779699,RANGING_REQ,-150,LISTENING,0
359,780384,RANGING_REQ,-150,LISTENING,0
360,781070,RANGING_REQ,-150,LISTENING,0
361,781760,RANGING_REQ,-150,LISTENING,0
362,782445,RANGING_REQ,-150,LISTENING,0
363,783130,RANGING_REQ,-150,LISTENING,0
364,783816,RANGING_REQ,-150,LISTENING,0
365,784501,RANGING_REQ,-150,LISTENING,0
366,785187,RANGING_REQ,-150,LISTENING,0
367,785872,RANGING_REQ,-150,LISTENING,0
368,786558,RANGING_REQ,-150,LISTENING,0
369,787243,RANGING_REQ,-150,LISTENING,0
370,787929,RANGING_REQ,-150,LISTENING,0
371,788619,RANGING_REQ,-150,LISTENING,0
372,789305,RANGING_REQ,-150,LISTENING,0
373,789990,RANGING_REQ,-150,LISTENING,0
374,790676,RANGING_REQ,-150,LISTENING,0
375,791361,RANGING_REQ,-150,LISTENING,0
376,853674,RANGING_REQ,-150,LISTENING,0
377,854360,RANGING_REQ,-150,LISTENING,0
378,855046,RANGING_REQ,-150,LISTENING,0
379,855732,RANGING_REQ,-150,LISTENING,0
380,856418,RANGING_REQ,-150,LISTENING,0
381,857104,RANGING_REQ,-150,LISTENING,0
382,857790,RANGING_REQ,-150,LISTENING,0
383,858477,RANGING_REQ,-150,LISTENING,0
384,859162,RANGING_REQ,-150,LISTENING,0
385,859848,RANGING_REQ,-150,LISTENING,0
386,860539,RANGING_REQ,-150,LISTENING,0
387,861225,RANGING_REQ,-150,LISTENING,0
388,861911,RANGING_REQ,-150,LISTENING,0
389,862597,RANGING_REQ,-150,LISTENING,0
390,863283,RANGING_REQ,-150,LISTENING,0
391,863969,RANGING_REQ,-150,LISTENING,0
392,864655,RANGING_REQ,-150,LISTENING,0
393,865341,RANGING_REQ,-150,LISTENING,0
394,866027,RANGING_REQ,-150,LISTENING,0
395,866712,RANGING_REQ,-150,LISTENING,0
396,867403,RANGING_REQ,-150,LISTENING,0
397,868089,RANGING_REQ,-150,LISTENING,0
398,868775,RANGING_REQ,-150,LISTENING,0
399,869461,RANGING_REQ,-150,LISTENING,0
400,870147,RANGING_REQ,-150,LISTENING,0
401,870833,RANGING_REQ,-150,LISTENING,0
402,871519,RANGING_REQ,-150,LISTENING,0
403,872205,RANGING_REQ,-150,LISTENING,0
404,872891,RANGING_REQ,-150,LISTENING,0
405,873577,RANGING_REQ,-150,LISTENING,0
406,874268,RANGING_REQ,-150,LISTENING,0
407,874954,RANGING_REQ,-150,LISTENING,0
408,875640,RANGING_REQ,-150,LISTENING,0
409,876326,RANGING_REQ,-150,LISTENING,0
410,877012,RANGING_REQ,-150,LISTENING,0
411,877698,RANGING_REQ,-150,LISTENING,0
412,878385,RANGING_REQ,-150,LISTENING,0
413,879071,RANGING_REQ,-150,LISTENING,0
414,879757,RANGING_REQ,-150,LISTENING,0
415,880443,RANGING_REQ,-150,LISTENING,0
416,881134,RANGING_REQ,-150,LISTENING,0
417,881820,RANGING_REQ,-150,LISTENING,0
418,882506,RANGING_REQ,-150,LISTENING,0
419,883192,RANGING_REQ,-150,LISTENING,0
420,883878,RANGING_REQ,-150,LISTENING,0
421,884564,RANGING_REQ,-150,LISTENING,0
422,885250,RANGING_REQ,-150,LISTENING,0
423,885936,RANGING_REQ,-150,LISTENING,0
424,886622,RANGING_REQ,-150,LISTENING,0
425,887308,RANGING_REQ,-150,LISTENING,0
426,887999,RANGING_REQ,-150,LISTENING,0
427,888685,RANGING_REQ,-150,LISTENING,0
428,889371,RANGING_REQ,-150,LISTENING,0
429,890057,RANGING_REQ,-150,LISTENING,0
430,890743,RANGING_REQ,-150,LISTENING,0
431,891428,RANGING_REQ,-150,LISTENING,0
432,892114,RANGING_REQ,-150,LISTENING,0
433,892800,RANGING_REQ,-150,LISTENING,0
434,893486,RANGING_REQ,-150,LISTENING,0
435,894172,RANGING_REQ,-150,LISTENING,0
436,894862,RANGING_REQ,-150,LISTENING,0
437,895548,RANGING_REQ,-150,LISTENING,0
438,896234,RANGING_REQ,-150,LISTENING,0
439,896920,RANGING_REQ,-150,LISTENING,0
440,897606,RANGING_REQ,-150,LISTENING,0
441,898292,RANGING_REQ,-150,LISTENING,0
442,898978,RANGING_REQ,-150,LISTENING,0
443,899664,RANGING_REQ,-150,LISTENING,0
444,900350,RANGING_REQ,-150,LISTENING,0
445,901036,RANGING_REQ,-150,LISTENING,0
446,901726,RANGING_REQ,-150,LISTENING,0
447,902412,RANGING_REQ,-150,LISTENING,0
448,903097,RANGING_REQ,-150,LISTENING,0
449,903783,RANGING_REQ,-150,LISTENING,0
450,904469,RANGING_REQ,-150,LISTENING,0
451,905155,RANGING_REQ,-150,LISTENING,0
452,905841,RANGING_REQ,-150,LISTENING,0
453,906526,RANGING_REQ,-150,LISTENING,0
454,907212,RANGING_REQ,-150,LISTENING,0
455,907898,RANGING_REQ,-150,LISTENING,0
456,908588,RANGING_REQ,-150,LISTENING,0
457,909273,RANGING_REQ,-150,LISTENING,0
458,909959,RANGING_REQ,-150,LISTENING,0
459,910644,RANGING_REQ,-150,LISTENING,0
460,911329,RANGING_REQ,-150,LISTENING,0
461,912015,RANGING_REQ,-150,LISTENING,0
462,912700,RANGING_REQ,-150,LISTENING,0
463,913386,RANGING_REQ,-150,LISTENING,0
464,914071,RANGING_REQ,-150,LISTENING,0
465,914756,RANGING_REQ,-150,LISTENING,0
466,915447,RANGING_REQ,-150,LISTENING,0
467,916132,RANGING_REQ,-150,LISTENING,0
468,916817,RANGING_REQ,-150,LISTENING,0
469,917503,RANGING_REQ,-150,LISTENING,0
470,918189,RANGING_REQ,-150,LISTENING,0
471,918874,RANGING_REQ,-150,LISTENING,0
472,919559,RANGING_REQ,-150,LISTENING,0
473,920245,RANGING_REQ,-150,LISTENING,0
474,986585,RANGING_REQ,-150,LISTENING,0
475,987271,RANGING_REQ,-150,LISTENING,0
476,987956,RANGING_REQ,-150,LISTENING,0
477,988642,RANGING_REQ,-150,LISTENING,0
478,989328,RANGING_REQ,-150,LISTENING,0
479,990014,RANGING_REQ,-150,LISTENING,0
480,990700,RANGING_REQ,-150,LISTENING,0
